Date,Open,High,Low,Close,Adj Close,Volume
2020-12-10,38473.76171875,38615.0,38165.5703125,38552.33984375,38552.33984375,0
2020-12-11,38552.33984375,38552.33984375,38147.5,38481.0,38481.0,0
2020-12-14,38481.0,38861.08984375,38355.73046875,38364.6484375,38364.6484375,0
2020-12-15,38364.6484375,38868.1015625,38364.6484375,38866.921875,38866.921875,0
2020-12-16,38866.921875,39012.640625,38795.1484375,38913.0,38913.0,0
2020-12-17,38913.0,39220.640625,38913.0,39220.578125,39220.578125,0
2020-12-18,39220.578125,39292.12890625,38862.78125,39130.6484375,39130.6484375,0
2020-12-21,39130.6484375,39130.6484375,38407.9296875,39033.96875,39033.96875,0
2020-12-22,39033.96875,39145.83984375,38884.12890625,39053.01171875,39053.01171875,0
2020-12-23,39053.01171875,39288.41015625,39053.01171875,39091.01953125,39091.01953125,0
2020-12-24,39091.01953125,39181.98046875,39046.6796875,39175.58984375,39175.58984375,0
2020-12-28,39175.58984375,39478.05078125,39175.58984375,39358.0703125,39358.0703125,0
2020-12-29,39358.0703125,39573.7890625,39134.69921875,39200.6015625,39200.6015625,0
2020-12-30,39200.6015625,39428.171875,39200.6015625,39301.23828125,39301.23828125,0
2020-12-31,39301.23828125,39482.6484375,39198.078125,39456.66015625,39456.66015625,0
2021-01-04,39456.66015625,39624.9296875,38484.671875,38892.08984375,38892.08984375,0
2021-01-05,38892.08984375,39314.83984375,38836.828125,39217.96875,39217.96875,0
2021-01-06,39217.96875,39889.30078125,39061.609375,39522.078125,39522.078125,0
2021-01-07,39522.078125,40257.359375,39522.078125,40190.109375,40190.109375,0
2021-01-08,40190.109375,40421.66015625,39941.671875,40386.078125,40386.078125,0
2021-01-11,40386.078125,40386.078125,39979.4609375,40161.078125,40161.078125,0
2021-01-12,40161.078125,40354.44921875,40023.05859375,40305.0,40305.0,0
2021-01-13,40305.0,40473.51171875,40171.828125,40338.0390625,40338.0390625,0
2021-01-14,40338.0390625,40570.78125,40264.5,40297.30859375,40297.30859375,0
2021-01-15,40297.30859375,40297.30859375,39766.6015625,39981.96875,39981.96875,0
2021-01-19,39981.96875,40378.71875,39981.96875,40328.828125,40328.828125,0
2021-01-20,40328.828125,40899.94921875,40328.828125,40829.12890625,40829.12890625,0
2021-01-21,40829.12890625,40915.640625,40716.6015625,40809.51953125,40809.51953125,0
2021-01-22,40809.51953125,40863.44140625,40567.7109375,40783.62890625,40783.62890625,0
2021-01-25,40783.62890625,41049.2890625,40293.62109375,40913.0390625,40913.0390625,0
2021-01-26,40913.0390625,41097.12109375,40785.19140625,40802.109375,40802.109375,0
2021-01-27,40802.109375,40802.109375,39605.98046875,39790.19140625,39790.19140625,0
2021-01-28,39790.19140625,40541.87890625,39790.19140625,40127.05859375,40127.05859375,0
2021-01-29,40127.05859375,40127.05859375,39178.53125,39396.171875,39396.171875,0
2021-02-01,39396.171875,40158.76171875,39396.171875,40074.4609375,40074.4609375,0
2021-02-02,40074.4609375,40792.640625,40074.4609375,40649.109375,40649.109375,0
2021-02-03,40649.109375,40899.01953125,40556.5,40728.5390625,40728.5390625,0
2021-02-04,40728.5390625,41216.37890625,40728.5390625,41214.94140625,41214.94140625,0
2021-02-05,41214.94140625,41498.48828125,41214.94140625,41448.87109375,41448.87109375,0
2021-02-08,41448.87109375,41828.33984375,41448.87109375,41828.21875,41828.21875,0
2021-02-09,41828.21875,41932.12890625,41701.171875,41847.05078125,41847.05078125,0
2021-02-10,41847.05078125,42093.0390625,41533.94921875,41833.26953125,41833.26953125,0
2021-02-11,41833.26953125,42028.23046875,41600.890625,41899.28125,41899.28125,0
2021-02-12,41899.28125,42112.73046875,41772.48828125,42099.8515625,42099.8515625,0
2021-02-16,42099.8515625,42290.8203125,41909.83984375,42030.01171875,42030.01171875,0
2021-02-17,42030.01171875,42030.01171875,41579.69140625,41932.28125,41932.28125,0
2021-02-18,41932.28125,41932.28125,41351.23828125,41674.30078125,41674.30078125,0
2021-02-19,41674.30078125,41988.75,41674.30078125,41747.25,41747.25,0
2021-02-22,41747.25,41747.25,41311.4296875,41316.55859375,41316.55859375,0
2021-02-23,41316.55859375,41428.8984375,40285.7890625,41284.109375,41284.109375,0
2021-02-24,41284.109375,41795.91015625,41056.359375,41763.01171875,41763.01171875,0
2021-02-25,41763.01171875,41785.9609375,40472.1796875,40629.3984375,40629.3984375,0
2021-02-26,40629.3984375,41018.609375,40168.66015625,40508.6796875,40508.6796875,0
2021-03-01,40508.6796875,41655.3515625,40508.6796875,41538.328125,41538.328125,0
2021-03-02,41538.328125,41591.12890625,41140.69921875,41140.8984375,41140.8984375,0
2021-03-03,41140.8984375,41197.41015625,40492.91015625,40496.9296875,40496.9296875,0
2021-03-04,40496.9296875,40696.3515625,39309.8203125,39842.4296875,39842.4296875,0
2021-03-05,39842.4296875,40646.828125,39172.94140625,40564.859375,40564.859375,0
2021-03-08,40564.859375,40987.1015625,40293.6484375,40314.0,40314.0,0
2021-03-09,40314.0,41283.6015625,40314.0,40996.25,40996.25,0
2021-03-10,40996.25,41475.05859375,40996.25,41275.3984375,41275.3984375,0
2021-03-11,41275.3984375,42004.94140625,41275.3984375,41844.98828125,41844.98828125,0
2021-03-12,41844.98828125,42263.828125,41541.01953125,41900.33984375,41900.33984375,0
2021-03-15,41900.33984375,42202.37109375,41711.44140625,42198.01171875,42198.01171875,0
2021-03-16,42198.01171875,42276.26171875,41876.9296875,42013.828125,42013.828125,0
2021-03-17,42013.828125,42265.609375,41666.53125,42154.69921875,42154.69921875,0
2021-03-18,42154.69921875,42154.69921875,41315.83984375,41373.33984375,41373.33984375,0
2021-03-19,41373.33984375,41601.98046875,41083.921875,41443.12109375,41443.12109375,0
2021-03-22,41443.12109375,41844.53125,41443.12109375,41670.69140625,41670.69140625,0
2021-03-23,41670.69140625,41670.69140625,41098.73828125,41192.8515625,41192.8515625,0
2021-03-24,41192.8515625,41513.87109375,40794.078125,40794.171875,40794.171875,0
2021-03-25,40794.171875,41172.80859375,40352.80078125,41067.19140625,41067.19140625,0
2021-03-26,41067.19140625,41737.80859375,41067.19140625,41720.1484375,41720.1484375,0
2021-03-29,41720.1484375,41720.1484375,41278.44140625,41521.44140625,41521.44140625,0
2021-03-30,41521.44140625,41593.25,41258.25,41500.55078125,41500.55078125,0
2021-03-31,41500.55078125,41964.55859375,41500.55078125,41741.87109375,41741.87109375,0
2021-04-01,41741.87109375,42286.26171875,41741.87109375,42280.96875,42280.96875,0
2021-04-05,42280.96875,42839.73828125,42280.96875,42805.80078125,42805.80078125,0
2021-04-06,42805.80078125,42961.109375,42742.7890625,42815.62890625,42815.62890625,0
2021-04-07,42815.62890625,42879.37890625,42681.140625,42778.859375,42778.859375,0
2021-04-08,42778.859375,43019.71875,42778.859375,43019.7109375,43019.7109375,0
2021-04-09,43019.7109375,43290.37890625,42970.80859375,43288.23828125,43288.23828125,0
2021-04-12,43288.23828125,43310.08984375,43111.78125,43273.25,43273.25,0
2021-04-13,43273.25,43516.44140625,43251.41015625,43448.30078125,43448.30078125,0
2021-04-14,43448.30078125,43632.87890625,43259.4609375,43297.55078125,43297.55078125,0
